2017-08-09 02:21:18,673 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-08-09 02:26:36,745 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.emcl.thesis:dlModel:0.0.1-SNAPSHOT @ /home/emira/EMCL/dlModel/pom.xml.
2017-08-09 02:26:37,033 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dlModel/src/main/java
2017-08-09 02:26:37,039 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /dlModel/src/main/resources
2017-08-09 02:26:37,043 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dlModel/src/test/java
2017-08-09 02:26:37,045 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /dlModel/src/test/resources
2017-08-09 02:26:38,332 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:26:38,356 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:26:38,360 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:26:38,361 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:28:36,184 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.emcl.thesis:dlModel:0.0.1-SNAPSHOT @ /home/emira/EMCL/dlModel/pom.xml.
2017-08-09 02:28:36,918 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:28:36,922 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:28:36,930 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:28:36,930 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:30:16,727 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:30:16,735 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:30:16,737 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-09 02:30:16,737 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-09 02:32:36,632 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-08-09 02:32:42,978 [Worker-4] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/emira/EMCL/dlModel
2017-08-09 02:32:42,979 [Worker-4] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B 
